# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
10	SAP Commerce	4	1.00	0.42	SAP Commerce=43
10	SCP	7	1.00	0.60	SCP=10
10	SCPI	7	1.00	0.27	SCPI=11
10	Seldon	6	1.00	0.70	Seldon=10
10	Senior Support	8	0.60	0.20	Senior Support=6|senior support=4
10	Server 2012	8	1.00	1.00	Server 2012=11
10	ServiceNow GRC	9	1.00	0.58	ServiceNow GRC=12
10	Services Java	8	0.50	1.00	Services Java=1|services Java=1
10	Skills 1	7	0.83	0.33	Skills 1=5|skills 1=1
10	Sling	5	1.00	1.00	Sling=12
10	Sling Models	5	0.78	1.00	Sling Models=7|Sling models=2
10	Slingshot	3	0.92	0.25	Slingshot=11|slingshot=1
10	Smart TV	7	0.69	0.46	Smart TV=9|smart TV=4
10	SmartNICs	7	1.00	0.20	SmartNICs=9|SmartNICS=1
10	Sneak	3	0.60	0.70	Sneak=6|sneak=4
10	SOAP XML	7	1.00	1.00	SOAP XML=1
10	solid Java	4	0.44	0.44	solid Java=5|Solid Java=4
10	Solutions Architect Google	6	1.00	1.00	Solutions Architect Google=1
10	Sonnet	6	0.90	0.60	Sonnet=9|sonnet=1
10	SparkSQL	6	1.00	0.82	SparkSQL=11
10	Spotfire	5	1.00	0.91	Spotfire=11
10	SQL Server Azure	8	1.00	1.00	SQL Server Azure=1
10	SQL What	7	1.00	0.67	SQL What=6
10	SQLServer	6	1.00	0.90	SQLServer=10
10	Stack Snowflake	9	1.00	1.00	Stack Snowflake=2
10	SUNK	3	0.91	0.64	SUNK=9|Sunk=1|sunk=1
10	TAK	3	1.00	0.75	TAK=12
10	Technical Skills Python	8	1.00	1.00	Technical Skills Python=3
10	Terraform Observability	6	1.00	1.00	Terraform Observability=2
10	Terraform Support	8	1.00	0.20	Terraform Support=5
10	Textract	5	1.00	0.91	Textract=11
10	ThreadX	7	1.00	0.22	ThreadX=9
10	Tooling Cursor	6	1.00	1.00	Tooling Cursor=4
10	Tools Ansible Puppet	9	1.00	1.00	Tools Ansible Puppet=1
10	tvOS	5	1.00	0.67	tvOS=12
10	TW	4	1.00	0.24	TW=17
10	TypeScript 3+	7	1.00	0.60	TypeScript 3+=4|Typescript 3+=1
10	TypeScript Design	9	1.00	1.00	TypeScript Design=3|Typescript Design=1
10	Typescript Develop	8	1.00	1.00	Typescript Develop=2
10	Typescript Familiarity	10	1.00	0.75	Typescript Familiarity=2|TypeScript Familiarity=2
10	Typescript What	4	1.00	1.00	Typescript What=5|TypeScript What=2
10	UiARD	4	1.00	0.30	UiARD=10
10	un.e	6	1.00	0.23	un.e=13
10	Utilize Terraform	8	1.00	0.33	Utilize Terraform=3
10	Veracode	9	1.00	1.00	Veracode=10
10	View Controller	8	1.00	0.83	View Controller=6
10	VIPER	5	1.00	0.20	VIPER=7|Viper=3
10	Vivencia	3	1.00	0.33	Vivencia=6
10	VOTRE PROFIL	4	1.00	0.33	VOTRE PROFIL=3
10	VPC Flow Logs	8	0.91	0.64	VPC Flow Logs=10|VPC flow logs=1
10	WarpStream	6	1.00	0.75	WarpStream=11|Warpstream=1
10	Windows Active	6	1.00	0.50	Windows Active=6
10	Windows Active Directory	6	1.00	0.67	Windows Active Directory=6
10	Workspace Okta	9	1.00	1.00	Workspace Okta=1
10	x64	6	1.00	0.88	x64=16
10	Xacta	7	1.00	0.67	Xacta=9|XACTA=3
10	Zenoh	7	1.00	0.77	Zenoh=13
10	ZFS	6	1.00	0.25	ZFS=12
9	000 Zone	4	1.00	0.50	000 Zone=16
9	130+	5	1.00	0.36	130+=11
9	2.x	9	1.00	0.50	2.x=12
9	3 +	5	1.00	1.00	3 +=3
9	5G NR	3	1.00	0.25	5G NR=4
9	8 +	7	1.00	0.33	8 +=6
9	ADFS	9	1.00	0.77	ADFS=13
9	ADLS Gen2	5	1.00	1.00	ADLS Gen2=7|ADLS gen2=2
9	Administer Windows	9	0.50	1.00	Administer Windows=2|administer Windows=2
9	Administration Active Directory	4	1.00	1.00	Administration Active Directory=4
9	Administrator Microsoft	7	1.00	1.00	Administrator Microsoft=1
9	Administrator Salesforce	4	1.00	1.00	Administrator Salesforce=7
9	Adobe Target	7	1.00	0.22	Adobe Target=9
9	AKS Experience	7	1.00	1.00	AKS Experience=1
9	Alation	7	1.00	0.67	Alation=9
9	Alpine	5	1.00	0.35	Alpine=17
9	Alto Prisma	9	1.00	0.42	Alto Prisma=12
9	Andrew Ng	3	1.00	1.00	Andrew Ng=1
9	Apache Camel	7	1.00	0.73	Apache Camel=11
9	API AWS	5	1.00	1.00	API AWS=1
9	API Gateway Experience	6	1.00	1.00	API Gateway Experience=4
9	API GraphQL	4	1.00	0.50	API GraphQL=2
9	Apple TV	5	1.00	0.62	Apple TV=13
9	Architect AWS Certified	6	1.00	1.00	Architect AWS Certified=6
9	ArgoCD Familiarity	7	1.00	1.00	ArgoCD Familiarity=4
9	ArgoCD Strong	7	1.00	1.00	ArgoCD Strong=2
9	AS2	7	1.00	0.56	AS2=9
9	Associate AWS Certified	6	1.00	1.00	Associate AWS Certified=5
9	Associate Microsoft Certified	9	1.00	0.91	Associate Microsoft Certified=11
9	Avalara	6	1.00	0.64	Avalara=11
9	AWS Amplify	6	1.00	1.00	AWS Amplify=11
9	AWS Certified Advanced	8	1.00	0.67	AWS Certified Advanced=6
9	AWS Certified SysOps	8	1.00	0.89	AWS Certified SysOps=9
9	AWS Containerization	8	0.75	1.00	AWS Containerization=3|AWS containerization=1
9	AWS Prior	5	1.00	1.00	AWS Prior=3
9	AWS QuickSight	7	1.00	0.88	AWS QuickSight=6|AWS QuickSIght=1|AWS Quicksight=1
9	AWS systems	7	0.43	0.57	AWS systems=4|AWS Systems=3
9	AWS Understanding	6	1.00	1.00	AWS Understanding=3
9	AWS WAF	7	1.00	0.67	AWS WAF=9
9	Azure Amazon Web	9	1.00	1.00	Azure Amazon Web=1
9	Azure API Management	8	1.00	1.00	Azure API Management=8
9	Azure Cognitive	6	1.00	0.78	Azure Cognitive=9
9	Azure Landing	8	0.89	0.56	Azure Landing=8|Azure landing=1
9	Azure Landing Zones	8	0.88	0.62	Azure Landing Zones=7|Azure landing zones=1
9	Azure Logic	9	1.00	0.82	Azure Logic=11
9	Azure Logic Apps	9	1.00	0.82	Azure Logic Apps=11
9	Azure Pipelines	8	0.78	0.89	Azure Pipelines=7|Azure pipelines=2
9	badges	7	0.44	0.22	badges=5|Badges=4
9	basic Linux	9	0.43	0.57	basic Linux=4|Basic Linux=3
9	Benchling	7	1.00	0.27	Benchling=11
9	Berlin Why	4	1.00	1.00	Berlin Why=4
9	Blender	6	1.00	0.27	Blender=11
9	Blick	6	1.00	0.22	Blick=9
9	BPC	4	1.00	1.00	BPC=9
9	Build API	9	0.57	0.43	Build API=4|build API=3
9	C++ 20	5	1.00	1.00	C++ 20=8
9	C++ Familiar	6	1.00	0.86	C++ Familiar=7
9	C++ Proficient	4	1.00	0.86	C++ Proficient=7
9	Canada About	7	1.00	0.50	Canada About=2
9	CAPI	6	1.00	0.35	CAPI=20
9	Cassandra Experience	8	1.00	1.00	Cassandra Experience=2
9	CCIE Enterprise	6	1.00	0.33	CCIE Enterprise=3
9	CD Continuous	7	1.00	1.00	CD Continuous=1
9	CDKTF	6	1.00	1.00	CDKTF=9
9	CDMP	8	1.00	0.67	CDMP=6
9	Certified Administrator Salesforce	4	1.00	1.00	Certified Administrator Salesforce=7
9	Certified Advanced Networking	8	1.00	1.00	Certified Advanced Networking=9
9	Certified Kubernetes Application	6	1.00	1.00	Certified Kubernetes Application=9
9	Certified Power	7	0.80	0.40	Certified Power=4|certified Power=1
9	Certified SysOps	8	1.00	1.00	Certified SysOps=9
9	Certified SysOps Administrator	8	1.00	1.00	Certified SysOps Administrator=9
9	Checkov	8	1.00	0.71	Checkov=7
9	Cisco ISE	9	1.00	0.55	Cisco ISE=11
9	Cisco switches	5	0.45	0.55	Cisco switches=6|Cisco Switches=5
9	CLIA	5	1.00	0.20	CLIA=5
9	Client SDK	7	0.50	0.50	Client SDK=5|client SDK=5
9	Cloud Dataflow	5	1.00	1.00	Cloud Dataflow=10
9	Cloud Development Kit	5	0.89	1.00	Cloud Development Kit=8|Cloud development kit=1
9	Cloud FinOps	8	1.00	0.38	Cloud FinOps=8
9	Cloud Google	8	1.00	0.50	Cloud Google=2
9	cloud IaaS	6	0.43	0.86	cloud IaaS=4|Cloud IaaS=3
9	CloudFormation Strong	9	1.00	1.00	CloudFormation Strong=1
9	CloudWatch Security	6	1.00	1.00	CloudWatch Security=5
9	Configuration Manager	7	0.92	0.31	Configuration Manager=12|configuration manager=1
9	Consultant We	6	0.80	0.20	Consultant We=4|consultant we=1
9	Cup	6	0.50	0.36	Cup=11|cup=11
9	CxOs	6	1.00	0.20	CxOs=6|CXOs=4
9	Cypress Experience	8	1.00	0.50	Cypress Experience=2
9	D365	7	1.00	0.39	D365=18
9	Dagster Experience	7	1.00	1.00	Dagster Experience=1
9	DAQ	6	1.00	0.25	DAQ=12
9	Desired Candidate	3	0.67	0.33	Desired Candidate=6|desired candidate=3
9	Desired Technical	6	0.67	0.33	Desired Technical=2|desired Technical=1
9	Develop ETL	8	1.00	1.00	Develop ETL=1
9	Developer Associate AWS	5	1.00	1.00	Developer Associate AWS=1
9	development SQL	5	0.50	1.00	development SQL=1|Development SQL=1
9	DevOps Docker	5	1.00	1.00	DevOps Docker=2
9	DevOps Engineer AWS	6	0.67	1.00	DevOps Engineer AWS=2|DevOps engineer AWS=1
9	DevOps Exposure	6	0.67	0.67	DevOps Exposure=2|DevOps exposure=1
9	Diriger	5	0.50	0.20	Diriger=5|diriger=5
9	Docker Infrastructure	7	1.00	1.00	Docker Infrastructure=1
9	Docker Terraform GitHub	4	1.00	1.00	Docker Terraform GitHub=2
9	Dokumentation	6	1.00	0.40	Dokumentation=10
9	Dragonfly	3	1.00	0.27	Dragonfly=11
9	e.g JMeter	8	1.00	1.00	e.g JMeter=1
9	Einstein Analytics	3	1.00	1.00	Einstein Analytics=9
9	ELK Prometheus	8	1.00	1.00	ELK Prometheus=1
9	Engineer AWS Certified	6	1.00	1.00	Engineer AWS Certified=4
9	Engineer Hands	7	0.67	0.33	Engineer Hands=2|engineer Hands=1
9	Engineer Support	6	1.00	1.00	Engineer Support=4
9	Entra ID Microsoft	8	1.00	1.00	Entra ID Microsoft=2
9	Exadata	4	1.00	0.67	Exadata=12
9	Exchange Online SharePoint	9	1.00	1.00	Exchange Online SharePoint=1
9	Expertise 10+	5	0.50	0.25	Expertise 10+=2|expertise 10+=2
9	Fabric Experience	9	0.40	0.60	Fabric Experience=2|Fabric experience=1|fabric experience=1|fabric Experience=1
9	Factory Azure Synapse	7	1.00	1.00	Factory Azure Synapse=1
9	Factory Infrastructure	7	0.50	0.30	Factory Infrastructure=4|Factory infrastructure=3|factory infrastructure=2|FACTORY INFRASTRUCTURE=1
9	Feign	5	1.00	0.70	Feign=10
9	FFI	8	0.90	0.50	FFI=9|ffi=1
9	FleetDM	4	1.00	0.20	FleetDM=10
9	Force.com	7	1.00	0.50	Force.com=9|force.com=1
9	Foxglove	4	1.00	0.62	Foxglove=8
9	frameworks Java	8	0.50	1.00	frameworks Java=1|Frameworks Java=1
9	Gateway API	8	1.00	0.82	Gateway API=11
9	GCE	9	1.00	0.70	GCE=10
9	GCP Security Command	6	1.00	0.67	GCP Security Command=3
9	Git Desired	4	1.00	1.00	Git Desired=3
9	Git Working	6	1.00	1.00	Git Working=5
9	GitLab JIRA Confluence	7	1.00	1.00	GitLab JIRA Confluence=1
9	Go Linux	4	1.00	1.00	Go Linux=1
9	Go What You	6	0.60	1.00	Go What You=3|Go What you=2
9	Google Looker	5	1.00	0.69	Google Looker=13
9	Gradle Experience	8	0.50	1.00	Gradle Experience=2|Gradle experience=2
9	Graph DB	3	0.90	1.00	Graph DB=9|graph DB=1
9	GraphQL APIs Experience	9	1.00	0.33	GraphQL APIs Experience=3
9	Great Fit 5+	4	1.00	0.25	Great Fit 5+=4
9	Hat Certified	5	1.00	1.00	Hat Certified=9
9	Hat Satellite	5	1.00	0.50	Hat Satellite=12
9	Haystack	8	0.73	0.45	Haystack=8|haystack=3
9	Hive Metastore	5	1.00	0.45	Hive Metastore=10|Hive MetaStore=1
9	HPA	7	1.00	0.40	HPA=10
9	IAM Domain	3	1.00	1.00	IAM Domain=1
9	IBM DataStage	4	1.00	1.00	IBM DataStage=9
9	Implementation Architect	7	0.57	0.29	Implementation Architect=4|implementation Architect=3
9	Infrastrukturen	5	1.00	0.67	Infrastrukturen=3
9	Initiativen	4	1.00	1.00	Initiativen=5
9	IoT Core	8	0.82	0.82	IoT Core=9|IoT core=2
9	iPadOS	7	1.00	0.33	iPadOS=9
9	iPXE	6	1.00	0.27	iPXE=11
9	Jacksonville	3	1.00	0.20	Jacksonville=10
9	Java 21 Spring	6	1.00	1.00	Java 21 Spring=2
9	Java Proven	8	1.00	0.75	Java Proven=4
9	JumpCloud	9	1.00	0.42	JumpCloud=11|Jumpcloud=1
9	Juniper Networks	6	1.00	0.22	Juniper Networks=9
9	Juniper SRX	7	1.00	0.33	Juniper SRX=9
9	K8s What	4	1.00	0.71	K8s What=5|k8s What=2
9	Kafka Good	4	1.00	1.00	Kafka Good=2
9	Kafka messaging	5	0.43	0.57	Kafka messaging=4|Kafka Messaging=3
9	Kafka Working	5	1.00	0.60	Kafka Working=5
9	Kosten	5	1.00	0.22	Kosten=9
9	Kubernetes APIs	8	1.00	0.50	Kubernetes APIs=4
9	Kubernetes Application Developer	6	1.00	1.00	Kubernetes Application Developer=9
9	Kubernetes cluster management	5	0.44	0.44	Kubernetes cluster management=5|Kubernetes Cluster Management=4
9	Kubernetes Implement	8	1.00	1.00	Kubernetes Implement=2
9	Kubernetes MongoDB	6	1.00	1.00	Kubernetes MongoDB=2
9	Kubernetes Terraform GitHub	6	1.00	1.00	Kubernetes Terraform GitHub=3
9	Linux AWS	7	1.00	1.00	Linux AWS=1
9	LLMs Agentic AI	7	1.00	1.00	LLMs Agentic AI=1
9	Lust	5	1.00	0.33	Lust=12
9	Maitrise	5	0.89	0.33	Maitrise=8|maitrise=1
9	Management Preferred Qualifications	7	0.50	1.00	Management Preferred Qualifications=1|management Preferred Qualifications=1
9	Management Zero Trust	6	1.00	1.00	Management Zero Trust=1
9	Manager Build	5	0.50	0.50	Manager Build=1|Manager build=1
9	Mapper	4	0.67	0.89	Mapper=6|mapper=3
9	MAUI	6	1.00	1.00	MAUI=9
9	Mesos	4	1.00	0.56	Mesos=9
9	Microsoft Azure Solutions	6	0.89	0.89	Microsoft Azure Solutions=8|Microsoft Azure solutions=1
9	Microsoft Dynamics 365	7	1.00	0.58	Microsoft Dynamics 365=12
9	Mimecast	8	1.00	0.42	Mimecast=12
9	Minimum Degree	3	1.00	0.50	Minimum Degree=2
9	MIP	5	1.00	0.36	MIP=11
9	MSTP	6	1.00	0.40	MSTP=10
9	MV	5	1.00	0.50	MV=18
9	MySQL Strong	7	1.00	1.00	MySQL Strong=3
9	need solid	8	0.40	0.40	need solid=3|Need Solid=1|NEED Solid=1
9	NodeJS Experience	8	1.00	1.00	NodeJS Experience=6
9	NOI	4	1.00	0.22	NOI=7|Noi=2
9	NoSQL AWS	5	1.00	1.00	NoSQL AWS=3
9	Observability Grafana	8	1.00	0.50	Observability Grafana=2
9	OCSF	6	1.00	0.60	OCSF=10
9	Okta Certified Professional	9	1.00	0.33	Okta Certified Professional=6
9	Online OneDrive	9	1.00	1.00	Online OneDrive=1
9	Online SharePoint	9	1.00	1.00	Online SharePoint=1
9	OOA	3	1.00	0.33	OOA=9
9	Ops Experience	7	1.00	1.00	Ops Experience=1
9	Oracle Linux	4	1.00	1.00	Oracle Linux=10
9	Pallas	6	1.00	0.58	Pallas=12
9	Palo Alto Prisma	9	1.00	0.42	Palo Alto Prisma=12
9	Peloton	4	1.00	0.33	Peloton=9
9	Perplexity	7	0.80	0.60	Perplexity=8|perplexity=2
9	PKI Experience	7	0.50	0.75	PKI Experience=2|PKI experience=2
9	PostgreSQL You	4	1.00	1.00	PostgreSQL You=2
9	Power BI Data	9	0.57	0.29	Power BI Data=4|Power BI data=3
9	Power BI Knowledge	6	0.75	1.00	Power BI Knowledge=3|Power BI knowledge=1
9	PPC	3	1.00	0.31	PPC=13
9	Preferred Qualifications Ability	5	1.00	1.00	Preferred Qualifications Ability=2
9	preferred ServiceNow	6	0.50	1.00	preferred ServiceNow=1|Preferred ServiceNow=1
9	Principal Backend	7	1.00	0.30	Principal Backend=10
9	Principal Backend Engineer	7	1.00	0.22	Principal Backend Engineer=9
9	Professional Certified	8	1.00	0.50	Professional Certified=2
9	Projekt	6	1.00	0.62	Projekt=8
9	PyMC	7	1.00	0.56	PyMC=9
9	Python Apache	9	1.00	1.00	Python Apache=2
9	Python Exp	7	0.60	0.60	Python Exp=3|Python exp=2
9	Python Infrastructure	8	0.50	0.75	Python Infrastructure=4|Python infrastructure=2|python infrastructure=2
9	Python Pay	5	1.00	0.29	Python Pay=7
9	QFX	7	1.00	0.44	QFX=9
9	Qualifications Cloud	4	1.00	0.50	Qualifications Cloud=6
9	QUALIFICATIONS Deep Technical	4	1.00	1.00	QUALIFICATIONS Deep Technical=6
9	Qualifications Practical	6	1.00	0.40	Qualifications Practical=5
9	Qualifications Required 5+	8	1.00	1.00	Qualifications Required 5+=1
9	Qualifications Software	8	0.67	0.50	Qualifications Software=4|qualifications Software=2
9	Queueable	7	0.60	0.50	Queueable=6|queueable=4
9	Rabbit	6	0.73	0.73	Rabbit=8|rabbit=3
9	Rancher Experience	3	1.00	1.00	Rancher Experience=7
9	random forests	6	0.40	0.50	random forests=6|Random Forests=4
9	Rasterio	6	0.80	0.90	Rasterio=8|rasterio=2
9	RDS S3 Lambda	8	1.00	1.00	RDS S3 Lambda=1
9	React 5+	5	1.00	1.00	React 5+=1
9	React 5+ Years	5	1.00	1.00	React 5+ Years=1
9	React Hooks	9	1.00	1.00	React Hooks=3
9	React Knowledge	9	1.00	0.50	React Knowledge=4
9	React Proven	8	1.00	0.75	React Proven=4
9	React Ruby	3	1.00	1.00	React Ruby=1
9	Red Hat Certified	5	1.00	1.00	Red Hat Certified=7
9	Red Hat Satellite	5	1.00	0.58	Red Hat Satellite=12
9	Redash	7	1.00	0.78	Redash=9
9	RedHat Linux	6	0.92	0.92	RedHat Linux=9|Redhat Linux=2|redhat linux=1
9	Redis Message Brokers	5	1.00	1.00	Redis Message Brokers=6
9	Responsibilities Cloud Infrastructure	7	1.00	0.20	Responsibilities Cloud Infrastructure=5
9	Responsibilities Platform Engineering	7	1.00	0.33	Responsibilities Platform Engineering=3
9	RESTlets	3	1.00	0.91	RESTlets=11
9	RHCSA	8	1.00	0.83	RHCSA=6
9	Rust Ability	7	1.00	1.00	Rust Ability=5
9	Rust Developer	7	0.56	0.33	Rust Developer=4|Rust developer=4|RUST Developer=1
9	Rust Hands	6	1.00	0.75	Rust Hands=4
9	SAC	7	0.91	0.36	SAC=10|sac=1
9	Salesforce AppExchange	5	1.00	0.67	Salesforce AppExchange=9
9	Salesforce Lightning	8	1.00	0.71	Salesforce Lightning=7
9	Salesforce Revenue	5	0.96	0.39	Salesforce Revenue=22|Salesforce revenue=1
9	SAP Commerce Cloud	3	1.00	0.34	SAP Commerce Cloud=29
9	SAP Fiori	4	1.00	0.66	SAP Fiori=28|SAP FIORI=1
9	SBE	6	1.00	0.44	SBE=9
9	SciPy Scikit	8	1.00	1.00	SciPy Scikit=2
9	Scripting Proficient	4	1.00	1.00	Scripting Proficient=5
9	Security Administrator	9	1.00	0.22	Security Administrator=9
9	Security Engineer The	5	1.00	0.43	Security Engineer The=7
9	Senior DevSecOps Engineer	8	1.00	0.22	Senior DevSecOps Engineer=9
9	Server Integration	9	0.67	0.78	Server Integration=6|server integration=3
9	Skills C++	7	0.50	1.00	Skills C++=1|skills C++=1
9	Slack Enterprise	8	1.00	0.40	Slack Enterprise=5
9	Snowflake What	5	1.00	1.00	Snowflake What=3
9	Solutions Architect Microsoft	5	1.00	1.00	Solutions Architect Microsoft=1
9	Spark Strong	9	1.00	1.00	Spark Strong=2
9	Splunk New	6	1.00	1.00	Splunk New=1
9	Splunk New Relic	6	1.00	1.00	Splunk New Relic=1
9	Spring Web	4	1.00	1.00	Spring Web=8
9	SQL ETL	8	1.00	0.50	SQL ETL=2
9	SQL Experienced	3	1.00	1.00	SQL Experienced=7
9	SQL HTML	7	1.00	1.00	SQL HTML=1
9	SQL Server Data	4	1.00	1.00	SQL Server Data=1
9	SQL The	5	1.00	0.67	SQL The=3
9	SQLModel	3	1.00	1.00	SQLModel=9
9	Stack Mastery	7	1.00	0.60	Stack Mastery=5
9	Strands Agents	5	1.00	0.89	Strands Agents=9
9	strong Node.js	5	0.40	0.80	strong Node.js=3|Strong Node.js=2
9	Strong Ruby	4	1.00	1.00	Strong Ruby=6
9	Supertest	5	0.60	0.90	Supertest=6|supertest=4
9	Tailwind CSS Experience	8	1.00	1.00	Tailwind CSS Experience=3
9	Technology Stack Python	4	1.00	1.00	Technology Stack Python=1
9	TensorRT Experience	8	1.00	0.50	TensorRT Experience=4
9	Terraform DataDog	8	1.00	1.00	Terraform DataDog=1
9	Terraform Excellent	6	1.00	1.00	Terraform Excellent=3
9	Terraform Manage	7	1.00	1.00	Terraform Manage=2
9	Test Automation API	3	1.00	1.00	Test Automation API=1
9	the RevOps	5	0.50	0.42	the RevOps=6|The RevOps=6
9	TPS	8	1.00	0.36	TPS=14
9	Traffic Manager	8	0.90	0.80	Traffic Manager=9|traffic manager=1
9	TypeORM	9	1.00	0.89	TypeORM=9
9	Typescript Ability	6	1.00	1.00	Typescript Ability=7
9	TypeScript MongoDB	8	1.00	1.00	TypeScript MongoDB=2|Typescript MongoDB=1
9	UAM	4	1.00	0.42	UAM=12
9	UCS	9	1.00	0.45	UCS=11
9	Unternehmensgruppe	4	1.00	0.60	Unternehmensgruppe=10
9	Upper Intermediate English	5	1.00	0.33	Upper Intermediate English=3
9	ussir	3	0.44	1.00	ussir=5|USSIR=4
9	Utiliser	7	0.57	0.29	Utiliser=4|utiliser=3
9	VCF	8	1.00	0.69	VCF=13
9	VertexAI	5	1.00	1.00	VertexAI=11
9	Vuex	6	1.00	1.00	Vuex=14
9	We Need 5+	3	1.00	0.25	We Need 5+=8
9	Web Services EC2	4	1.00	1.00	Web Services EC2=1
9	Why Join Artefact	3	1.00	0.33	Why Join Artefact=9
9	Windows Autopilot	9	1.00	0.33	Windows Autopilot=12
9	Windows Microsoft	6	1.00	1.00	Windows Microsoft=2
9	WSL	5	1.00	1.00	WSL=11
9	Yocto Project	6	1.00	0.75	Yocto Project=8
9	Zugang	4	1.00	0.38	Zugang=8
8	+ AWS	6	1.00	0.88	+ AWS=8
8	+ Spring	8	1.00	1.00	+ Spring=8
8	.NET 6+	6	1.00	1.00	.NET 6+=11
8	.NET Web API	3	1.00	0.75	.NET Web API=8
8	700 USD Zone	3	1.00	0.25	700 USD Zone=8
8	802.1X DNS	4	1.00	1.00	802.1X DNS=1
8	8693	3	1.00	0.50	8693=8
8	Access Manager	5	0.90	0.30	Access Manager=9|access manager=1
8	Actions Observability	4	1.00	1.00	Actions Observability=1
8	Active Directory Cloud	7	1.00	1.00	Active Directory Cloud=2
8	Active Directory Domain	7	0.80	0.40	Active Directory Domain=4|Active Directory domain=1
8	Adaptive AUTOSAR	3	1.00	0.92	Adaptive AUTOSAR=13
8	ADM	8	1.00	0.40	ADM=10
8	Administration Windows	7	1.00	1.00	Administration Windows=1
8	Administrator Expert	7	1.00	0.25	Administrator Expert=8
8	Administrator Salesforce Certified	3	1.00	1.00	Administrator Salesforce Certified=7
8	Advana	5	1.00	0.56	Advana=9
8	Advanced Terraform	6	0.50	0.25	Advanced Terraform=2|advanced Terraform=2
8	AEM Edge	4	1.00	0.43	AEM Edge=7
8	AEM Edge Delivery	4	1.00	0.43	AEM Edge Delivery=7
8	AEMaaCS	4	1.00	0.64	AEMaaCS=14
8	AEP	5	1.00	0.24	AEP=17
8	AI access	5	0.44	0.33	AI access=5|AI Access=4
8	AI agent infrastructure	6	0.43	0.29	AI agent infrastructure=4|AI Agent Infrastructure=3
8	AI Core	7	1.00	0.70	AI Core=10
8	AI Foundry AWS	5	1.00	1.00	AI Foundry AWS=1
8	AI Tooling Cursor	4	1.00	1.00	AI Tooling Cursor=4
8	AJO	5	1.00	0.20	AJO=10
8	Analysis Python	8	1.00	1.00	Analysis Python=1
8	Android native	6	0.50	0.58	Android native=6|Android Native=6
8	Android UI	8	1.00	0.38	Android UI=8
8	Angular Familiarity	5	1.00	1.00	Angular Familiarity=5
8	Ansible scripting	6	0.50	1.00	Ansible scripting=2|Ansible Scripting=2
8	Apache Spark Familiarity	5	1.00	1.00	Apache Spark Familiarity=1
8	API engineering	7	0.44	0.22	API engineering=5|API Engineering=4
8	API Event	5	1.00	0.50	API Event=2
8	APIs Database	8	1.00	1.00	APIs Database=1
8	APIs Frontend	7	1.00	1.00	APIs Frontend=1
8	APIs Observability	8	1.00	1.00	APIs Observability=1
8	APIs Semantic	4	1.00	1.00	APIs Semantic=2
8	APIs What You	6	1.00	1.00	APIs What You=1
8	APIs Write	8	1.00	1.00	APIs Write=1
8	AppEngine	5	1.00	1.00	AppEngine=8
8	Apps AI	4	1.00	1.00	Apps AI=1
8	Architect Associate AWS	4	1.00	1.00	Architect Associate AWS=1
8	Architect Expert Azure	6	1.00	1.00	Architect Expert Azure=1
8	Argo Experience	4	1.00	1.00	Argo Experience=1
8	Associate Cloud Engineer	7	1.00	0.60	Associate Cloud Engineer=5
8	Associate Experience	6	0.67	0.67	Associate Experience=2|associate experience=1
8	Assured Compliance	4	1.00	0.62	Assured Compliance=8
8	Assured Compliance Assessment	4	1.00	0.62	Assured Compliance Assessment=8
8	Atlan	6	1.00	0.62	Atlan=8
8	Atlassian Cloud	7	0.93	0.40	Atlassian Cloud=14|Atlassian cloud=1
8	Automation Mastery	7	1.00	1.00	Automation Mastery=1
8	autoscaler	7	0.50	0.50	autoscaler=4|Autoscaler=4
8	AVD	7	1.00	0.80	AVD=15
8	AWS CloudTrail	8	1.00	0.40	AWS CloudTrail=4|AWS Cloudtrail=1
8	AWS Cognito	5	1.00	0.62	AWS Cognito=8
8	AWS Device	6	1.00	0.50	AWS Device=8
8	AWS Device Farm	6	1.00	0.50	AWS Device Farm=8
8	AWS Excellent	7	1.00	1.00	AWS Excellent=1
8	AWS IAM Identity	4	1.00	0.44	AWS IAM Identity=9
8	AWS Neptune	6	1.00	1.00	AWS Neptune=9
8	AWS Proficient	8	1.00	1.00	AWS Proficient=3
8	AWS Required	5	0.57	1.00	AWS Required=4|AWS required=3
8	AWS Responsibilities	6	1.00	1.00	AWS Responsibilities=3
8	AWS service	6	0.43	0.29	AWS service=4|AWS Service=3
8	Azure Architect	8	1.00	0.43	Azure Architect=7
8	Azure Cognitive Services	5	1.00	0.75	Azure Cognitive Services=8
8	Azure DevOps Cloud	3	1.00	1.00	Azure DevOps Cloud=7
8	Azure DevOps YAML	5	1.00	0.88	Azure DevOps YAML=7|Azure Devops YAML=1
8	Azure DNS	4	1.00	0.78	Azure DNS=9
