# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
309	Jira Confluence	167	1.00	0.83	Jira Confluence=4|JIRA Confluence=2
308	Cypress	180	0.99	0.85	Cypress=352|cypress=4
307	Git CI	123	1.00	0.89	Git CI=9
306	Microsoft 365	195	1.00	0.58	Microsoft 365=555
305	C# .NET	135	1.00	0.81	C# .NET=43|C# .Net=2|C# .net=2
299	Iceberg	159	0.99	0.60	Iceberg=365|iceberg=5
296	ce	85	0.42	0.24	ce=287|CE=172|Ce=36
295	Transformers	133	0.65	0.38	Transformers=230|transformers=124
292	Entra ID	203	1.00	0.68	Entra ID=509
290	APIs Data	181	1.00	0.40	APIs Data=5
289	TypeScript JavaScript	173	1.00	1.00	TypeScript JavaScript=6
287	Azure AWS	147	1.00	0.25	Azure AWS=4
286	Chrome	33	1.00	0.65	Chrome=777|chrome=1
276	C++ Python	101	1.00	1.00	C++ Python=1
274	CompTIA	151	1.00	0.31	CompTIA=245|COMPTIA=4|CompTia=2|Comptia=2
272	Elastic	125	0.95	0.27	Elastic=626|elastic=30
272	Haves Experience	111	0.58	0.26	Haves Experience=48|haves Experience=36|HAVES Experience=1
272	JVM	124	1.00	0.73	JVM=336
271	Delta Lake	127	0.99	0.75	Delta Lake=325|Delta lake=2
271	SQL Python	147	1.00	1.00	SQL Python=3
270	53	142	1.00	0.43	53=69
269	2.0	152	1.00	0.58	2.0=386
268	Adobe	77	0.99	0.43	Adobe=404|adobe=5
265	Aurora	112	1.00	0.93	Aurora=361|aurora=1
262	Kanban	153	0.96	0.22	Kanban=274|kanban=12
261	Desired Qualifications	47	0.96	0.30	Desired Qualifications=96|DESIRED QUALIFICATIONS=28|Desired qualifications=3|desired qualifications=2
260	ITIL	155	1.00	0.25	ITIL=267
259	Argo	142	0.99	0.70	Argo=333|argo=2
257	languages Python	136	0.45	1.00	languages Python=6|Languages Python=5
255	FinOps	133	1.00	0.23	FinOps=421|FInOps=1
252	UDP	86	1.00	0.41	UDP=269|udp=1
251	Glue	152	0.76	0.77	Glue=242|glue=76
251	Ray	116	0.99	0.73	Ray=263|ray=3
248	Chrome Extension	7	0.99	0.50	Chrome Extension=484|Chrome extension=6
248	TDD	124	1.00	0.24	TDD=277
247	Amazon Web	129	0.99	0.76	Amazon Web=237|Amazon web=2
246	Python Javascript	140	1.00	1.00	Python Javascript=2
244	JAX	97	0.97	0.96	JAX=231|Jax=21|jax=7
243	pytest	128	0.47	0.82	pytest=124|Pytest=60|PyTest=49|pyTest=1
242	LLM APIs	139	1.00	0.26	LLM APIs=257
240	SQL NoSQL	120	1.00	1.00	SQL NoSQL=1
238	AZ	90	0.99	0.39	AZ=257|az=2
238	mes	77	0.41	0.30	mes=376|MES=257
236	API Gateway	145	0.77	0.76	API Gateway=228|API gateway=66|api gateway=1
235	be Nice	19	0.58	0.20	be Nice=72|BE NICE=70|Be Nice=54|be nice=18
235	TypeScript Python	89	1.00	1.00	TypeScript Python=3|Typescript Python=2
234	APIs Experience	164	0.99	0.71	APIs Experience=112|APIs experience=1
233	C++ Experience	97	0.76	0.82	C++ Experience=99|C++ experience=31
233	CIS	113	0.84	0.34	CIS=236|cis=44|Cis=2
233	Java Scala	73	1.00	1.00	Java Scala=1
233	Pub	127	0.74	0.80	Pub=215|pub=75
232	DevOps Cloud	66	0.92	0.58	DevOps Cloud=11|DevOps cloud=1
232	UIs	153	1.00	0.31	UIs=262
231	pub sub	125	0.50	0.75	pub sub=2|Pub Sub=2
230	DR	105	1.00	0.23	DR=191|Dr=56
230	Java C#	100	1.00	1.00	Java C#=2
230	SOAP	127	1.00	0.64	SOAP=296|Soap=1
229	2019	65	1.00	0.31	2019=247
228	Java Spring Boot	101	1.00	0.71	Java Spring Boot=21
226	Atlassian	113	1.00	0.53	Atlassian=336
225	AWS Certified	120	1.00	0.79	AWS Certified=195
225	Compass	12	0.70	0.29	Compass=345|compass=149
223	Atlas	62	1.00	0.45	Atlas=539|ATLAS=69
223	Pulumi	108	1.00	0.88	Pulumi=288
221	Desired Skills	66	0.82	0.41	Desired Skills=107|Desired skills=23|DESIRED SKILLS=4|desired skills=1
221	LlamaIndex	118	1.00	0.23	LlamaIndex=233|Llamaindex=2
217	MFA	166	1.00	0.26	MFA=324
216	Hugging	93	1.00	0.77	Hugging=221
215	Python Typescript	129	1.00	1.00	Python Typescript=1|Python TypeScript=1
213	Have Familiarity	119	0.46	0.57	Have Familiarity=48|have familiarity=32|have Familiarity=25|Have familiarity=5|HAVE Familiarity=5
212	PostgreSQL MySQL	129	1.00	1.00	PostgreSQL MySQL=2
211	Bash Python	120	1.00	1.00	Bash Python=1
211	vLLM	95	0.99	0.43	vLLM=199|VLLM=8|vllm=3
210	Advanced SQL	126	0.50	0.62	Advanced SQL=46|advanced SQL=46
208	Azure Experience	137	0.58	0.91	Azure Experience=36|Azure experience=27|Azure EXPERIENCE=1|AZURE Experience=1
206	EEO Policy	7	0.78	0.50	EEO Policy=160|EEO policy=46
206	PKI	98	1.00	0.32	PKI=317
206	VPNs	154	1.00	0.52	VPNs=254
206	Would be Nice	14	0.59	0.23	Would be Nice=72|WOULD BE NICE=70|Would Be Nice=49|would be nice=12
205	Loki	75	1.00	0.85	Loki=244
205	New Relic	96	0.99	0.44	New Relic=291|New relic=2|new relic=2
205	Relic	96	0.99	0.40	Relic=331|relic=4
204	Biases	69	0.62	0.28	Biases=131|biases=81
204	CDK	116	1.00	0.98	CDK=242
204	Compose	119	0.86	0.63	Compose=248|compose=42|COMPOSE=1
203	Pinecone	87	0.99	0.31	Pinecone=180|pinecone=2
202	ITSM	112	1.00	0.43	ITSM=284
201	Intune	157	1.00	0.49	Intune=366|InTune=4
201	OAuth 2.0	112	1.00	0.62	OAuth 2.0=224
200	Foundry	78	0.92	0.38	Foundry=325|foundry=29
199	Dagster	116	1.00	0.94	Dagster=211|dagster=1
198	Cursor Claude	108	1.00	1.00	Cursor Claude=2
197	AI experience	104	0.43	0.24	AI experience=60|AI Experience=46
197	GKE	98	1.00	0.87	GKE=266
196	FI	103	0.65	0.44	FI=28|fi=18|Fi=6
196	Recruitment Privacy Policy	5	1.00	0.60	Recruitment Privacy Policy=170
196	Wi	99	1.00	0.21	Wi=240|WI=39|wi=1
195	stack AI	31	0.40	0.20	stack AI=3|Stack AI=2
194	10 000	47	1.00	0.50	10 000=2
193	Pandas NumPy	97	1.00	1.00	Pandas NumPy=3
192	AI AI	41	1.00	0.50	AI AI=2
190	Istio	94	0.99	0.54	Istio=239|istio=2
189	55	46	1.00	0.36	55=160
189	TypeScript Experience	137	0.67	0.90	TypeScript Experience=46|TypeScript experience=27|Typescript Experience=14|Typescript experience=2|typescript Experience=1
188	SQL Experience	115	0.73	0.73	SQL Experience=72|SQL experience=28|SQL EXPERIENCE=2
187	SNS	100	1.00	0.94	SNS=208|sns=1
185	CCNP	111	1.00	0.32	CCNP=170
